D:\beta_simulator_windows\IMG\center_2019_07_16_21_21_59_547.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_21_59_547.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_21_59_547.jpg,0,0,0,1.968011E-06
D:\beta_simulator_windows\IMG\center_2019_07_16_21_21_59_640.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_21_59_640.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_21_59_640.jpg,0,0,0,9.814144E-06
D:\beta_simulator_windows\IMG\center_2019_07_16_21_21_59_735.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_21_59_735.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_21_59_735.jpg,0,0,0,3.525427E-06
D:\beta_simulator_windows\IMG\center_2019_07_16_21_21_59_827.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_21_59_827.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_21_59_827.jpg,0,0,0,1.021527E-05
D:\beta_simulator_windows\IMG\center_2019_07_16_21_21_59_923.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_21_59_923.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_21_59_923.jpg,0,0,0,1.558205E-05
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_022.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_022.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_022.jpg,0,0,0,9.122232E-06
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_107.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_107.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_107.jpg,0,0,0,7.334576E-06
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_198.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_198.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_198.jpg,0,0,0,1.081206E-06
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_305.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_305.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_305.jpg,0,0,0,1.314119E-05
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_402.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_402.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_402.jpg,0,0.280335,0,0.241801
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_496.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_496.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_496.jpg,0,0.5640084,0,0.8180886
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_590.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_590.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_590.jpg,0,0.8482506,0,1.530369
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_681.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_681.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_681.jpg,0,1,0,2.62921
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_768.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_768.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_768.jpg,0,1,0,3.560929
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_867.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_867.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_867.jpg,0,1,0,4.733199
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_00_963.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_00_963.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_00_963.jpg,-0.25,1,0,5.880431
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_060.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_060.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_060.jpg,-0.5000001,1,0,6.988443
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_155.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_155.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_155.jpg,0,1,0,8.096528
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_249.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_249.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_249.jpg,0,1,0,8.997521
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_342.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_342.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_342.jpg,-0.25,1,0,10.09821
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_438.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_438.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_438.jpg,0,1,0,11.17405
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_530.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_530.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_530.jpg,0,1,0,12.18005
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_624.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_624.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_624.jpg,-0.25,1,0,13.12257
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_724.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_724.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_724.jpg,0,1,0,14.25221
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_817.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_817.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_817.jpg,0,1,0,15.10029
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_01_906.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_01_906.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_01_906.jpg,-0.2,1,0,15.94309
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_02_006.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_02_006.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_02_006.jpg,0,1,0,17.20411
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_02_097.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_02_097.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_02_097.jpg,-0.25,1,0,18.02165
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_02_192.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_02_192.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_02_192.jpg,0,1,0,19.1752
D:\beta_simulator_windows\IMG\center_2019_07_16_21_22_02_287.jpg,D:\beta_simulator_windows\IMG\left_2019_07_16_21_22_02_287.jpg,D:\beta_simulator_windows\IMG\right_2019_07_16_21_22_02_287.jpg,-0.1,1,0,19.97308
